1,1970101123456,4.5
2,2960502123457,4.0
3,1940815123458,3.8
4,2951203123459,5.0
5,1980321123451,3.2
6,2961115123452,4.7
7,1970212123453,4.2
8,2930418123454,3.5
9,1990901123455,4.3
10,2950705123450,4.8
11,1234567890123,4.1
3,2960502123457,4.2
2,1940815123458,4.1
5,2951203123459,4.4
8,1980321123451,3.9
9,2961115123452,4.0
10,1970212123453,4.8
11,2930418123454,3.7
6,1990901123455,3.9
7,2950705123450,4.4
12,1234567890123,4.3
4,1970101123456,3.9
1,2960502123457,4.3
6,1940815123458,3.5
2,2951203123459,4.2
4,1980321123451,4.7
10,2961115123452,4.1
5,1970212123453,4.5
9,2930418123454,4.6
8,1990901123455,4.2
3,2950705123450,4.3
7,1234567890123,4.1
6,1970101123456,4.8
8,2960502123457,3.9
9,1940815123458,4.0
11,2951203123459,4.7
2,1980321123451,4.2
5,2961115123452,4.9
4,1970212123453,3.8
10,2930418123454,3.7
12,1990901123455,4.1
1,2950705123450,4.5
6,1234567890123,4.2
13,2961115123452,4.33
